Entrada,Salida,Tiempo total,Entrada Micro,Salida Micro,Tiempo total micro,Dia,Inicio Cola,Fin Cola,Tiempo Cola
12:45:00 PM,12:53:00 PM,00:08:00,12:00:00 AM,12:03:49 AM,00:03:49,03/03/22,,,
12:50:00 PM,12:53:00 PM,00:03:00,12:01:43 AM,12:03:47 AM,00:02:04,03/03/22,,,
12:50:00 PM,12:53:00 PM,00:03:00,12:04:20 AM,12:07:04 AM,00:02:44,03/03/22,,,
12:53:00 PM,12:56:00 PM,00:03:00,12:11:28 AM,12:15:13 AM,00:03:45,03/03/22,,,
12:59:00 PM,01:04:00 PM,00:05:00,12:12:24 AM,12:15:42 AM,00:03:18,03/03/22,,,
12:59:00 PM,01:04:00 PM,00:05:00,12:15:52 AM,12:17:45 AM,00:01:53,03/03/22,,,
01:03:00 PM,01:08:00 PM,00:05:00,12:17:22 AM,12:19:46 AM,00:02:24,03/03/22,,,
01:05:00 PM,01:13:00 PM,00:08:00,12:18:12 AM,12:20:37 AM,00:02:25,03/03/22,,,
01:05:00 PM,01:09:00 PM,00:04:00,12:20:14 AM,12:22:35 AM,00:02:21,03/03/22,,,
01:06:00 PM,01:15:00 PM,00:09:00,12:21:05 AM,12:23:27 AM,00:02:22,03/03/22,,,
01:08:00 PM,01:13:00 PM,00:05:00,12:23:06 AM,00:27:15,00:04:09,03/03/22,,,
01:09:00 PM,01:16:00 PM,00:07:00,12:23:51 AM,12:27:21 AM,00:03:30,03/03/22,,,
01:09:00 PM,01:16:00 PM,00:07:00,12:27:39 AM,12:30:45 AM,00:03:06,03/03/22,,,
01:11:00 PM,01:20:00 PM,00:09:00,12:28:42 AM,12:31:02 AM,00:02:20,03/03/22,,,
01:19:00 PM,01:23:00 PM,00:04:00,12:31:15 AM,12:34:06 AM,00:02:51,03/03/22,,,
,,,12:32:25 AM,12:34:32 AM,00:02:07,03/03/22,,,
01:02:00 PM,01:09:00 PM,00:07:00,12:00:00 AM,12:03:47 AM,00:03:47,04/03/2022,,,
01:02:00 PM,01:08:00 PM,00:06:00,12:01:04 AM,12:04:45 AM,00:03:41,04/03/2022,,,
01:07:00 PM,01:11:00 PM,00:04:00,12:04:45 AM,12:07:03 AM,00:02:18,04/03/2022,,,
01:10:00 PM,01:15:00 PM,00:05:00,12:07:50 AM,12:10:45 AM,00:02:55,04/03/2022,,,
01:12:00 PM,01:15:00 PM,00:03:00,12:09:42 AM,12:11:15 AM,00:01:33,04/03/2022,,,
01:12:00 PM,01:19:00 PM,00:07:00,12:11:55 AM,12:15:58 AM,00:04:03,04/03/2022,,,
01:15:00 PM,01:20:00 PM,00:05:00,12:13:53 AM,12:16:05 AM,00:02:12,04/03/2022,,,
01:17:00 PM,01:22:00 PM,00:05:00,12:16:11 AM,12:19:09 AM,00:02:58,04/03/2022,,,
12:57:13 PM,01:07:40 PM,00:10:27,12:00:00 AM,12:07:45 AM,00:07:45,07/03/2022,12:00:00 AM,12:01:44 AM,00:01:44
12:58:11 PM,01:07:40 PM,00:09:29,12:01:01 AM,12:03:29 AM,00:02:28,07/03/2022,12:00:20 AM,12:07:53 AM,00:07:33
01:03:47 PM,01:07:30 PM,00:03:43,12:06:25 AM,12:09:05 AM,00:02:40,07/03/2022,12:01:12 AM,12:03:06 AM,00:01:54
